Path X,Path Y,Path Z
1,18,2
1.5,17.5,2.5
2,17,3
2.5,16.5,3.0
3,16,3
3.5,15.5,3.0
4,15,3
4.5,14.5,3.0
5,14,3
5.5,13.5,3.0
6,13,3
6.5,12.5,3.0
7,12,3
7.5,11.5,2.5
8,11,2
8.5,10.5,2.5
9,10,3
9.5,10.0,3.0
10,10,3
10.5,10.0,3.0
11,10,3
11.5,10.0,3.0
12,10,3
12.5,10.0,3.0
13,10,3
13.5,9.5,3.5
14,9,4
14.5,9.5,4.5
15,10,5
15.5,10.0,5.5
16,10,6
16.5,10.0,6.0
17,10,6
17.5,10.5,6.0
18,11,6
17.5,11.5,6.0
17,12,6
16.5,12.5,6.0
16,13,6
15.5,13.0,6.0
15,13,6
14.5,13.0,6.0
14,13,6
13.5,13.0,6.0
13,13,6
12.5,13.0,6.0
12,13,6
11.5,13.0,6.0
11,13,6
10.5,13.0,6.0
10,13,6
9.5,13.0,6.0
9,13,6
8.5,13.0,6.0
8,13,6
7.5,13.0,6.0
7,13,6
6.5,12.5,6.0
6,12,6
5.5,11.5,6.0
5,11,6
4.5,10.5,6.0
4,10,6
3.5,10.0,6.0
3.0,10.0,6.0
